id,Title,Content,SKU,"Product Type","Parent Product ID","Товар Pr Type","Product Attributes","Категории товаров",Price,"Image URL"
44,"Ролл с лососем","Маки ролл с лососем 155гр\8 шт",,simple,0,,,Роллы,209,http://worlddelete.ru/risitesto/wp-content/uploads/2019/08/ролл_с_лососем.png
46,"Сет для двоих","Ролл с лососем, Ролл с огурцом, Филадельфия с лососем, Калифорния с креветкой, 865 гр",,simple,0,,,Сеты,799,http://worlddelete.ru/risitesto/wp-content/uploads/2019/08/сет-для-двоих-8.png|http://worlddelete.ru/risitesto/wp-content/uploads/2019/08/сет-для-двоих-2.png|http://worlddelete.ru/risitesto/wp-content/uploads/2019/08/сет-для-двоих-4.png|http://worlddelete.ru/risitesto/wp-content/uploads/2019/08/сет-для-двоих-5.png|http://worlddelete.ru/risitesto/wp-content/uploads/2019/08/сет-для-двоих-6.png|http://worlddelete.ru/risitesto/wp-content/uploads/2019/08/сет-для-двоих-7.png
48,Гамбургер,"Булка для гамбургеров, котлета из говядины, кетчуп, огурцы маринованные",,simple,0,,,Бургеры,189,http://worlddelete.ru/risitesto/wp-content/uploads/2019/08/гамбургер-2.png|http://worlddelete.ru/risitesto/wp-content/uploads/2019/08/гамбургер_2-—-копия.png|http://worlddelete.ru/risitesto/wp-content/uploads/2019/08/гамбургер_2-—-копия-2.png|http://worlddelete.ru/risitesto/wp-content/uploads/2019/08/-e1579331255939.png|http://worlddelete.ru/risitesto/wp-content/uploads/2019/08/гамбургер-1.png
50,"Coca-Cola (1л)","Великий безалкогольный напиток нации!",,simple,0,,,Напитки,99,http://worlddelete.ru/risitesto/wp-content/uploads/2019/08/cola.png|http://worlddelete.ru/risitesto/wp-content/uploads/2019/08/кола.png|http://worlddelete.ru/risitesto/wp-content/uploads/2019/08/кола-5.png
53,"Стручковая фасоль","0,050гр",,simple,0,,,Добавки,40,http://worlddelete.ru/risitesto/wp-content/uploads/2019/08/стручковая-фасоль-2.jpg|http://worlddelete.ru/risitesto/wp-content/uploads/2019/08/стручковая-фасоль.jpg
90,Помидоры,"0,050гр",,simple,0,,,Добавки,40,http://worlddelete.ru/risitesto/wp-content/uploads/2019/08/помидоры-2.jpg
91,Курица,"0,050гр",,simple,0,,,Добавки,60,http://worlddelete.ru/risitesto/wp-content/uploads/2019/08/курица-2.jpg|http://worlddelete.ru/risitesto/wp-content/uploads/2019/08/бекон-2.jpg
92,Бекон,"0,050гр",,simple,0,,,Добавки,70,http://worlddelete.ru/risitesto/wp-content/uploads/2019/08/бекон-1.jpg|http://worlddelete.ru/risitesto/wp-content/uploads/2019/08/бекон.jpg|http://worlddelete.ru/risitesto/wp-content/uploads/2019/08/ветчина.jpg|http://worlddelete.ru/risitesto/wp-content/uploads/2019/08/грибы.png|http://worlddelete.ru/risitesto/wp-content/uploads/2019/08/дор-блю.jpg|http://worlddelete.ru/risitesto/wp-content/uploads/2019/08/курица-1.jpg|http://worlddelete.ru/risitesto/wp-content/uploads/2019/08/моцарелла.jpg|http://worlddelete.ru/risitesto/wp-content/uploads/2019/08/пармезан.jpg|http://worlddelete.ru/risitesto/wp-content/uploads/2019/08/перец.jpg|http://worlddelete.ru/risitesto/wp-content/uploads/2019/08/помидоры-1.jpg|http://worlddelete.ru/risitesto/wp-content/uploads/2019/08/салями-1.jpg|http://worlddelete.ru/risitesto/wp-content/uploads/2019/08/стручковая-фасоль-1.jpg|http://worlddelete.ru/risitesto/wp-content/uploads/2019/08/фета.png|http://worlddelete.ru/risitesto/wp-content/uploads/2019/08/вода2.png|http://worlddelete.ru/risitesto/wp-content/uploads/2019/08/кола-1.png|http://worlddelete.ru/risitesto/wp-content/uploads/2019/08/соки-1.png|http://worlddelete.ru/risitesto/wp-content/uploads/2019/08/fanta.png|http://worlddelete.ru/risitesto/wp-content/uploads/2019/08/pepsi.png|http://worlddelete.ru/risitesto/wp-content/uploads/2019/08/sprite.png|http://worlddelete.ru/risitesto/wp-content/uploads/2019/08/гамбургер_2-—-копия-1.png|http://worlddelete.ru/risitesto/wp-content/uploads/2019/08/фирменный_1-—-копия-1.png|http://worlddelete.ru/risitesto/wp-content/uploads/2019/08/чизбургер_1-—-копия.png|http://worlddelete.ru/risitesto/wp-content/uploads/2019/08/шеф_бургер_1-—-копия.png|http://worlddelete.ru/risitesto/wp-content/uploads/2019/08/4_стихии-2.png|http://worlddelete.ru/risitesto/wp-content/uploads/2019/08/4сыра.png|http://worlddelete.ru/risitesto/wp-content/uploads/2019/08/Вегетарианская.png|http://worlddelete.ru/risitesto/wp-content/uploads/2019/08/Маргарита-1.png|http://worlddelete.ru/risitesto/wp-content/uploads/2019/08/Морская.png|http://worlddelete.ru/risitesto/wp-content/uploads/2019/08/Мужской-сезон.png|http://worlddelete.ru/risitesto/wp-content/uploads/2019/08/Пепперони.png|http://worlddelete.ru/risitesto/wp-content/uploads/2019/08/Пицца-чили-.png|http://worlddelete.ru/risitesto/wp-content/uploads/2019/08/Цезарь.png|http://worlddelete.ru/risitesto/wp-content/uploads/2019/08/Чикен.png|http://worlddelete.ru/risitesto/wp-content/uploads/2019/08/BBQ.png|http://worlddelete.ru/risitesto/wp-content/uploads/2019/08/зеленый_дракон.png|http://worlddelete.ru/risitesto/wp-content/uploads/2019/08/кайсо_футомаки-1.png|http://worlddelete.ru/risitesto/wp-content/uploads/2019/08/калифорния_с_лососем.png|http://worlddelete.ru/risitesto/wp-content/uploads/2019/08/калифорния_с_угрем.png|http://worlddelete.ru/risitesto/wp-content/uploads/2019/08/калифорния_снежный_краб.png|http://worlddelete.ru/risitesto/wp-content/uploads/2019/08/красный_дракон.png|http://worlddelete.ru/risitesto/wp-content/uploads/2019/08/ролл_васаби.png|http://worlddelete.ru/risitesto/wp-content/uploads/2019/08/ролл_вегетерия.png|http://worlddelete.ru/risitesto/wp-content/uploads/2019/08/ролл_гинза.png|http://worlddelete.ru/risitesto/wp-content/uploads/2019/08/ролл_императорский.png|http://worlddelete.ru/risitesto/wp-content/uploads/2019/08/ролл_кани_спайси.png|http://worlddelete.ru/risitesto/wp-content/uploads/2019/08/ролл_с_лососем-1.png|http://worlddelete.ru/risitesto/wp-content/uploads/2019/08/ролл_с_мидиями.png|http://worlddelete.ru/risitesto/wp-content/uploads/2019/08/ролл_с_огурцом.png|http://worlddelete.ru/risitesto/wp-content/uploads/2019/08/ролл_с_угрем_и_огурцом.png|http://worlddelete.ru/risitesto/wp-content/uploads/2019/08/ролл_спайси_лосось_с_авокадо.png|http://worlddelete.ru/risitesto/wp-content/uploads/2019/08/ролл_темпура_креветка.png|http://worlddelete.ru/risitesto/wp-content/uploads/2019/08/ролл_темпура_лосось.png|http://worlddelete.ru/risitesto/wp-content/uploads/2019/08/Ролл_темпура_угорь.png|http://worlddelete.ru/risitesto/wp-content/uploads/2019/08/ролл_фудзияма.png|http://worlddelete.ru/risitesto/wp-content/uploads/2019/08/филадельфия_с_лососем.png|http://worlddelete.ru/risitesto/wp-content/uploads/2019/08/филадельфия_с_угрем.png|http://worlddelete.ru/risitesto/wp-content/uploads/2019/08/филадельфия_тобико.png|http://worlddelete.ru/risitesto/wp-content/uploads/2019/08/якудза.png|http://worlddelete.ru/risitesto/wp-content/uploads/2019/08/smoke_ролл.png|http://worlddelete.ru/risitesto/wp-content/uploads/2019/08/сет-для-двоих-3.png|http://worlddelete.ru/risitesto/wp-content/uploads/2019/08/сет-для-друзей.png|http://worlddelete.ru/risitesto/wp-content/uploads/2019/08/сет-кхалиси-1.png|http://worlddelete.ru/risitesto/wp-content/uploads/2019/08/темпура-сет.png|http://worlddelete.ru/risitesto/wp-content/uploads/2019/08/сет_филадельфия.png|http://worlddelete.ru/risitesto/wp-content/uploads/2019/08/запеченный_сет.png|http://worlddelete.ru/risitesto/wp-content/uploads/2019/08/сет_банзай.png|http://worlddelete.ru/risitesto/wp-content/uploads/2019/08/запеченная_креветка.png|http://worlddelete.ru/risitesto/wp-content/uploads/2019/08/запеченный_лосось.png|http://worlddelete.ru/risitesto/wp-content/uploads/2019/08/запеченный_угорь.png
161,"Болгарский перец","0,050гр",,simple,0,,,Добавки,50,http://worlddelete.ru/risitesto/wp-content/uploads/2019/08/перец-1.jpg
162,Фета,"0,050гр",,simple,0,,,Добавки,60,http://worlddelete.ru/risitesto/wp-content/uploads/2019/08/фета-1.png
